127.0.0.1 - - [14/Sep/2024:13:35:19 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:35:23 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:38:13 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1272
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:38:13 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:38:15 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:38:20 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:38:26 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:38:49 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:38:56 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:43:23 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:44:47 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2478
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:46:09 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:46:49 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2498
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:48:39 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:48:44 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:36:42 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2478
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:37:16 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2502
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:40:28 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2498
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:41:59 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:41:59 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:44:00 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2579
