127.0.0.1 - - [24/Oct/2024:14:00:25 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:00:28 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:00:58 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1315
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:01:00 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:01:00 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:01:13 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:01:13 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3366
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:01:20 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:01:20 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:01:20 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:01:20 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:01:20 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:18:40 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:18:47 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:19:07 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:19:07 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3366
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:31:32 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:31:32 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:31:32 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:31:32 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:31:32 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:31:38 +0530] "GET /ORS_Project4/doc/com/rays/pro4/Bean/package-summary.html HTTP/1.1" 200 8262
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:31:38 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:31:38 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:31:38 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:31:38 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:31:38 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:31:51 +0530] "GET /ORS_Project4/doc/index-files/index-1.html HTTP/1.1" 200 12774
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:31:51 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:31:51 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:31:51 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:31:51 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:31:51 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 927
